datetime_utc,hum,tempm,conds
20170414-18:00,48,27,Haze
20170414-21:00,62,24,Haze
20170415-00:00,66,23,Haze
20170415-03:00,38,28,Haze
20170415-04:00,36,32,Haze
20170415-06:00,12,37,Haze
20170415-09:00,9,40,Haze
20170415-12:00,8,40,Haze
20170415-15:00,25,30,Haze
20170415-18:00,34,27,Haze
20170415-21:00,46,24,Haze
20170416-00:00,54,22,Haze
20170416-03:00,30,28,Haze
20170416-06:00,17,37,Haze
20170416-09:00,15,39,Haze
20170416-12:00,14,38,Haze
20170416-15:00,41,30,Haze
20170416-18:00,55,27,Haze
20170416-21:00,48,27,Haze
20170417-00:00,54,26,Haze
20170417-03:00,48,28,Haze
20170417-05:30,34,35,Haze
20170417-06:00,21,36,Haze
20170417-09:00,16,40,Haze
20170417-12:00,16,39,Haze
20170417-15:00,41,32,Haze
20170417-18:00,53,29,Haze
20170417-21:00,63,28,Haze
20170418-00:00,71,26,Mist
20170418-03:00,40,29,Haze
20170418-05:00,25,36,Haze
20170418-06:00,16,37,Widespread Dust
20170418-09:00,8,42,Widespread Dust
20170418-12:00,9,42,Widespread Dust
20170418-15:00,22,34,Haze
20170418-18:00,26,31,Haze
20170418-21:00,29,29,Haze
20170419-00:00,36,26,Haze
20170419-03:00,13,32,Haze
20170419-06:00,13,39,Haze
20170419-09:00,8,42,Haze
20170419-12:00,10,41,Haze
20170419-15:00,29,33,Haze
20170419-18:00,42,29,Haze
20170419-21:00,42,26,Haze
20170420-00:00,27,27,Haze
20170420-03:00,26,30,Haze
20170420-06:00,16,38,Haze
20170420-09:00,12,42,Haze
20170420-12:00,16,42,Haze
20170420-15:00,36,34,Haze
20170420-18:00,40,32,Haze
20170420-21:00,47,31,Haze
20170421-00:00,60,30,Haze
20170421-03:00,47,30,Haze
20170421-06:00,32,36,Haze
20170421-09:00,24,39,Haze
20170421-12:00,28,39,Haze
20170421-15:00,38,35,Haze
20170421-18:00,41,33,Haze
20170421-21:00,45,32,Haze
20170422-00:00,54,30,Haze
20170422-03:00,42,32,Widespread Dust
20170422-06:00,44,34,Widespread Dust
20170422-08:00,37,38,Unknown
20170422-09:00,29,38,Widespread Dust
20170422-12:00,30,34,Thunderstorm
20170422-12:30,41,33,Light Thunderstorm
20170422-15:00,41,32,Haze
20170422-18:00,44,30,Haze
20170422-21:00,47,28,Haze
20170423-00:00,45,27,Haze
20170423-03:00,30,30,Haze
20170423-06:00,18,36,Haze
20170423-09:00,12,39,Haze
20170423-12:00,12,39,Haze
20170423-15:00,32,33,Haze
20170423-18:00,41,30,Haze
20170423-21:00,30,29,Haze
20170424-00:00,40,26,Haze
20170424-03:00,38,28,Haze
20170424-06:00,25,34,Haze
20170424-09:00,16,38,Haze
20170424-12:00,14,36,Haze
20170424-15:00,27,32,Haze
20170424-18:00,30,30,Haze
